312	139418.0	S
313	139484.0	S
314	139464.0	S
315	139538.0	S
316	139482.0	S
317	139512.0	S
318	139412.0	S
319	139412.0	S
320	139464.0	S
321	139394.0	S
322	139520.0	S
323	139498.0	S
324	139460.0	S
325	139406.0	S
326	139458.0	S
327	139498.0	S
328	139454.0	S
329	139504.0	S
330	139480.0	S
331	139408.0	S
332	139450.0	S
333	139492.0	S
334	139450.0	S
335	139518.0	S
336	139518.0	S
337	139434.0	S
338	139462.0	S
339	139494.0	S
340	139454.0	S
341	139510.0	S
342	139460.0	S
343	139430.0	S
344	139520.0	S
345	139524.0	S
346	139468.0	S
347	139500.0	S
348	139474.0	S
349	139460.0	S
350	139382.0	S
351	139416.0	S
352	139480.0	S
353	139412.0	S
354	139492.0	S
355	139382.0	S
356	139504.0	S
357	139420.0	S
358	139374.0	S
359	139414.0	S
360	139454.0	S
361	139472.0	S
362	139486.0	S
363	139434.0	S
364	139446.0	S
365	139506.0	S
366	139466.0	S
367	139480.0	S
368	139408.0	S
369	139426.0	S
370	139522.0	S
371	139438.0	S
372	139394.0	S
373	139486.0	S
374	139366.0	S
375	139526.0	S
376	139486.0	S
377	139488.0	S
378	139398.0	S
379	139378.0	S
380	139508.0	S
381	139446.0	S
382	139422.0	S
383	139434.0	S
384	139440.0	S
385	139438.0	S
386	139520.0	S
387	139464.0	S
388	139498.0	S
389	139460.0	S
390	139540.0	S
391	139484.0	S
392	139490.0	S
393	139480.0	S
394	139490.0	S
395	139488.0	S
396	139528.0	S
397	139534.0	S
398	139446.0	S
399	139498.0	S
400	139426.0	S
401	139460.0	S
402	139500.0	S
403	139496.0	S
404	139520.0	S
405	139488.0	S
406	139450.0	S
407	139414.0	S
408	139454.0	S
409	139468.0	S
410	139530.0	S
411	139410.0	S
412	139372.0	S
413	139446.0	S
414	139542.0	S
415	139510.0	S
416	139472.0	S
417	139444.0	S
418	139382.0	S
419	139476.0	S
420	139472.0	S
421	139396.0	S
422	139492.0	S
423	139494.0	S
424	139462.0	S
425	139478.0	S
426	139488.0	S
427	139396.0	S
428	139414.0	S
429	139516.0	S
430	139450.0	S
431	139406.0	S
432	139486.0	S
433	139390.0	S
434	139448.0	S
435	139466.0	S
436	139388.0	S
437	139492.0	S
438	139516.0	S
439	139510.0	S
440	139522.0	S
441	139532.0	S
442	139558.0	S
443	139464.0	S
444	139498.0	S
445	139456.0	S
446	139346.0	S
447	139448.0	S
448	139516.0	S
449	139378.0	S
450	139472.0	S
451	139452.0	S
452	139482.0	S
453	139436.0	S
454	139508.0	S
455	139458.0	S
456	139472.0	S
457	139426.0	S
458	139470.0	S
459	139398.0	S
460	139442.0	S
461	139500.0	S
462	139412.0	S
463	139476.0	S
464	139540.0	S
465	139494.0	S
466	139422.0	S
467	139478.0	S
468	139514.0	S
469	139492.0	S
470	139490.0	S
471	139430.0	S
472	139560.0	S
473	139508.0	S
474	139506.0	S
475	139434.0	S
476	139364.0	S
477	139432.0	S
478	139474.0	S
479	139544.0	S
480	139468.0	S
481	139488.0	S
482	139484.0	S
483	139458.0	S
484	139424.0	S
485	139426.0	S
486	139500.0	S
487	139478.0	S
488	139460.0	S
489	139424.0	S
490	139468.0	S
491	139476.0	S
492	139450.0	S
493	139516.0	S
494	139484.0	S
495	139420.0	S
496	139560.0	S
497	139468.0	S
498	139420.0	S
499	139410.0	S
500	139466.0	S
501	139430.0	S
502	139466.0	S
503	139506.0	S
504	139454.0	S
505	139478.0	S
506	139482.0	S
507	139482.0	S
508	139390.0	S
509	139426.0	S
510	139380.0	S
511	139444.0	S
512	139448.0	S
513	139526.0	S
514	139474.0	S
515	139536.0	S
516	139466.0	S
517	139486.0	S
518	139526.0	S
519	139468.0	S
520	139474.0	S
521	139526.0	S
522	139530.0	S
523	139452.0	S
524	139508.0	S
525	139476.0	S
526	139524.0	S
527	139452.0	S
528	139434.0	S
529	139420.0	S
530	139446.0	S
531	139396.0	S
532	139434.0	S
533	139386.0	S
534	139422.0	S
535	139412.0	S
536	139500.0	S
537	139432.0	S
538	139408.0	S
539	139464.0	S
540	139446.0	S
541	139452.0	S
542	139434.0	S
543	139464.0	S
544	139486.0	S
545	139520.0	S
546	139456.0	S
547	139490.0	S
548	139420.0	S
549	139482.0	S
550	139540.0	S
551	139478.0	S
552	139480.0	S
553	139472.0	S
554	139482.0	S
555	139518.0	S
556	139486.0	S
